Name;Type;Material;Thickness[mm];Constant;User-Name
F.Mask;Top Solder Mask;;0.01;;F_Mask
F.Cu;copper;;0.035;;F_Cu
dielectric 1;prepreg;PR2116;0.12;4.2;dielectric 1
In1.Cu;copper;;0.035;;In1_Cu
dielectric 2;core;FR4-Improved;0.51;4.2;dielectric 2
In2.Cu;copper;;0.035;;In2_Cu
dielectric 3;prepreg;2xPR1080;0.14;4.2;dielectric 3
In3.Cu;copper;;0.035;;In3_Cu
dielectric 4;core;FR4-Improved;0.51;4.2;dielectric 4
In4.Cu;copper;;0.035;;In4_Cu
dielectric 5;prepreg;PR2116;0.12;4.2;dielectric 5
B.Cu;copper;;0.035;;B_Cu
B.Mask;Bottom Solder Mask;;0.01;;B_Mask
